tag_id,tag_name,tag_type,pi_name,ui_display_name,data_type,uom_id,uom_name,uom_description,model_id,model_tag_id,formula_expression
1686,Air_Compressor_A_Steam_Reduction,inferred,NULL,Air Compressor A Steam Reduction,real,27,-,28,1,2851,([AIR_COMPRESSOR_A_Vent_flow]*[Air_Compressor_Turbine_A_Steam])/([Air_compressor_A_Discharge_flow])
1690,Air_Compressor_A_Vent_Cost,inferred,NULL,Air Compressor A Vent Cost,real,27,-,28,1,2855,[Air_Compressor_A_Steam_Reduction]*([HP_Steam_Cost]-[LP_Steam_Cost])
1625,AIR_COMPRESSOR_A_Vent_flow,inferred,NULL,AIR COMPRESSOR A Vent flow,real,3,MT/ HR,3,1,2790,"max(0,[Air_compressor_A_Discharge_flow]-[AC_A_Flow_To_Header])"
2140,AIR_COMPRESSOR_A_Vent_flow_benifit,inferred,NULL,AIR COMPRESSOR A Vent flow benifit,real,20,$/ HR,21,1,3299,"if((abs(([AIR_COMPRESSOR_A_Vent_flow_actual]-[AIR_COMPRESSOR_A_Vent_flow_optimum])*[Air_KPI_doller_actual]))>0.5,([AIR_COMPRESSOR_A_Vent_flow_actual]-[AIR_COMPRESSOR_A_Vent_flow_optimum])*[Air_KPI_doller_actual],0)"
2933,Air_Compressor_B_Cost,inferred,NULL,"Air Compressor B Cost  ",real,20,$/ HR,21,1,4092,[Air_Compressor_Motor_B_Power]*3.6*[Power_Rate]
162,Air_compressor_B_Discharge_flow,inferred,NULL,Air compressor B Discharge flow,real,3,MT/ HR,3,1,162,[Air_Compressor_Motor_B_Status]*[Air_compressor_B_Discharge_flow_raw]*[Air_density]/1000
3086,Air_compressor_B_Discharge_flow_KEV,inferred,NULL,Air compressor B Discharge flow,real,3,MT/ HR,3,1,4245,[Air_compressor_B_Discharge_flow]*[Air_Compressor_Motor_B_Status]
1687,Air_Compressor_B_Power_Reduction,inferred,NULL,Air Compressor B Power Reduction,real,27,-,28,1,2852,([AIR_COMPRESSOR_B_Vent_flow]*[Air_Compressor_Motor_B_Power])/([Air_compressor_B_Discharge_flow])
206,Air_Compressor_B_Rated_Flow,inferred,NULL,Air Compressor B Rated Flow,real,3,MT/ HR,3,1,206,15.435
1691,Air_Compressor_B_Vent_Cost,inferred,NULL,Air Compressor B Vent Cost,real,27,-,28,1,2856,[Air_Compressor_B_Power_Reduction]*3.6*[Power_Rate]
1626,AIR_COMPRESSOR_B_Vent_flow,inferred,NULL,AIR COMPRESSOR B Vent flow,real,3,MT/ HR,3,1,2791,"max(0,[Air_compressor_B_Discharge_flow]-[AC_B_Flow_To_Header])"
2141,AIR_COMPRESSOR_B_Vent_flow_benifit,inferred,NULL,AIR COMPRESSOR B Vent flow benifit,real,20,$/ HR,21,1,3300,"if((abs(([AIR_COMPRESSOR_B_Vent_flow_actual]-[AIR_COMPRESSOR_B_Vent_flow_optimum])*[Air_KPI_doller_actual]))>0.5,([AIR_COMPRESSOR_B_Vent_flow_actual]-[AIR_COMPRESSOR_B_Vent_flow_optimum])*[Air_KPI_doller_actual],0)"
2934,Air_Compressor_C_Cost,inferred,NULL,"Air Compressor C Cost  ",real,20,$/ HR,21,1,4093,[Air_Compressor_Motor_C_Power]*3.6*[Power_Rate]
