derived_equation_id,model_tag_id,formula_expression,active
146,352,[VHP_BFW_FROM_U_O]+[VHP_DESPHTR_BFW_FROM_U_O]+[BFW_to_EOEG_1] + [BFW_to_EOEG_2] +[BFW_to_EOEG_3] + [BFW_TO_LAO] + [DSP_BFW_TO_ETH] +[DSP_BFW_TO_EG1] +[DSP_BFW_TO_EG2] +[DSP_BFW_TO_EG3] +[DSP_BFW_TO_CAUSTIC_DILUTION] + ([Total_BLR_HPS_Generation]/.99)+([Deaerator_LPS]*0.02),1
147,202,[LP_Steam_Dumping_Valve_PC0024A_Steam_flow_out_UO]+[Boiler_CBD]+[Condensate_from_Traps],1
150,43,[CW_Turbine_A_Status]*([CW_Turbine_A_Steam_Imbalance]+38*0.90) +(1-[CW_Turbine_A_Status])*[CW_Turbine_A_Steam_warmup],1
152,4,test formula,0
156,1,Test,0
165,1468,((2175.54628147543-1.32764297764643*(45.5)+2.71544961166282*(402))*0.239)+764*0,1
166,1440,[BLR_1_Status]*(0.0005*([BLR_1_HPS_Gen])**2-0.0559*([BLR_1_HPS_Gen])+5.5697),1
167,1432,[Fuel_BLR_1] * [LHV] / [Spec_En_Cons_BLR_1]*[BLR_1_Status],1
168,1441,[BLR_2_Status]*(0.0005*([BLR_2_HPS_Gen])**2-0.0559*([BLR_2_HPS_Gen])+5.5697),1
169,1433,[Fuel_BLR_2] * [LHV] / [Spec_En_Cons_BLR_2]*[BLR_2_Status],1
170,1442,[BLR_3_Status]*(0.0005*([BLR_3_HPS_Gen])**2-0.0559*([BLR_3_HPS_Gen])+5.5697),1
171,1434,[Fuel_BLR_3] * [LHV] / [Spec_En_Cons_BLR_3]*[BLR_3_Status],1
172,1443,[BLR_4_Status]*(0.0005*([BLR_4_HPS_Gen])**2-0.0559*([BLR_4_HPS_Gen])+5.5697),1
173,1435,[Fuel_BLR_4] * [LHV] / [Spec_En_Cons_BLR_4]*[BLR_4_Status],1
174,1444,[BLR_5_Status]*(0.0005*([BLR_5_HPS_Gen])**2-0.0559*([BLR_5_HPS_Gen])+5.5697),1
175,1436,[Fuel_BLR_5] * [LHV] / [Spec_En_Cons_BLR_5]*[BLR_5_Status],1
176,1511,[BFW_A_Motor_Status]*((0.2639*([BFW_Flow_Consumption]/[BFW_Drives_Running])+ 754.56))/1000,1
177,1437,[BFW_B_Turb_Status]*((16.801*([BFW_Flow_Consumption]/[BFW_Drives_Running]) + 12184))/1000,1
178,1438,[BFW_C_Turb_Status]*((16.801*([BFW_Flow_Consumption]/[BFW_Drives_Running])+ 12184))/1000,1
179,1512,[BFW_D_Motor_Status]*((0.7238*([BFW_Flow_Consumption]/[BFW_Drives_Running]) + 650.69))/1000,1
180,1439,[BFW_E_Turb_Status]*((16.801*([BFW_Flow_Consumption]/[BFW_Drives_Running])+ 12184))/1000,1
181,1513,[BFW_F_Motor_Status]*((0.7238*([BFW_Flow_Consumption]/[BFW_Drives_Running]) + 650.69))/1000,1
182,1445,[VHP_BFW_B_Turb_Status]*((46.438*([VHP_Flow_Demand]/[VHP_BFW_Drives_Running]) + 17543))/1000,1
183,1446,[VHP_BFW_C_Turb_Status]*((46.438*([VHP_Flow_Demand]/[VHP_BFW_Drives_Running]) + 17543))/1000,1
184,1514,[VHP_BFW_A_Motor_Status]*((2.8434*([VHP_Flow_Demand]/[VHP_BFW_Drives_Running]) + 859.32))/1000,1
185,1275,[CW_Turbine_A_Status]*38*0.95,1
186,1276,[CW_Turbine_B_Status]*38*0.95,1
187,1515,[CW_Motor_C_Status]*2.55*0.95,1
188,1516,[CW_Motor_D_Status]*2.55*0.95,1
189,1517,[CW_Motor_E_Status]*2.55*0.95,1
190,1518,[CW_Motor_F_Status]*2.55*0.95,1
191,1277,[CW_Turbine_G_Status]*38*0.95,1
192,1447,[Air_Compressor_Turbine_A_Status]*((1052.9*([Total_Air_Demand]/[Air_Compressor_Drives_Running]) + 11393))/1000,1
193,1448,[Air_Compressor_Turbine_D_Status]*((1018*([Total_Air_Demand]/[Air_Compressor_Drives_Running]) + 11345))/1000,1
194,1520,[Air_Compressor_Motor_C_Status]*((51.834*([Total_Air_Demand]/[Air_Compressor_Drives_Running]) + 589.24))/1000,1
195,1519,[Air_Compressor_Motor_B_Status]*((49.843*([Total_Air_Demand]/[Air_Compressor_Drives_Running]) +664.52))/1000,1
196,1449,[DMW_Turbine_A_Status]*6,1
197,1521,[DMW_Pump_Motor_B_Status]*0.112,1
198,1450,[DMW_Turbine_C_Status]*6,1
199,1567,2.059*([HP_Steam_Vent_valve_PV0012_Opening_UO]),1
200,1566,0.724*[LP_Steam_Dumping_Valve_PC0024A_Opening_UO],1
201,1525,([Deaerator_A_LPS]*0.02),1
202,1526,([Deaerator_B_LPS]*0.02),1
203,1295,[BLR_1_Status]+[BLR_2_Status]+[BLR_3_Status]+[BLR_4_Status]+[BLR_5_Status],1
204,1481,[Fuel_BLR_1]+[Fuel_BLR_2]+[Fuel_BLR_3]+[Fuel_BLR_4]+[Fuel_BLR_5],1
205,1523,[BFW_D_Motor_Power]+[BFW_F_Motor_Power]+[BFW_A_Motor_Power]+[VHP_BFW_A_Motor_Power]+[CW_Motor_C_Power]+[CW_Motor_D_Power]+[CW_Motor_E_Power]+[CW_Motor_F_Power]+[Air_Compressor_Motor_C_Power]+[Air_Compressor_Motor_B_Power]+[DMW_Motor_B_Power],1
206,1534,((-0.0078*([HP_to_MP_Letdown_Valve_Opening_PV0007A_UO])**2+2.86*([HP_to_MP_Letdown_Valve_Opening_PV0007A_UO]))),1
207,1535,((-0.0078*([HP_to_MP_Letdown_Valve_Opening_PV0007B_UO])**2+2.86*([HP_to_MP_Letdown_Valve_Opening_PV0007B_UO]))),1
208,1540,(0.0039*([MP_to_LP_Letdown_Valve_Opening_PV013A_UO])**2+0.047*([MP_to_LP_Letdown_Valve_Opening_PV013A_UO])),1
209,1541,(0.0039*([MP_to_LP_Letdown_Valve_Opening_PV013B_UO])**2+0.047*([MP_to_LP_Letdown_Valve_Opening_PV013B_UO])),1
210,1542,0.677*([MP_to_LP_Letdown_Valve_Opening_PV31_UO]),1
211,1543,0.677*([MP_to_LP_Letdown_Valve_Opening_PV32_UO]),1
212,1568,1.208*[LP_Steam_Vent_valve_PV0024B_Opening_UO],1
213,1532,[BLR_1_Status]+[BLR_2_Status] +[BLR_3_Status] +[BLR_4_Status] +[BLR_5_Status] +[BFW_E_Turb_Status] +[BFW_B_Turb_Status] +[BFW_C_Turb_Status] +[VHP_BFW_B_Turb_Status] +[VHP_BFW_C_Turb_Status] +[CW_Turbine_A_Status] +[CW_Turbine_B_Status] +[CW_Turbine_G_Status] +[Air_Compressor_Turbine_A_Status] +[Air_Compressor_Turbine_D_Status] +[DMW_Turbine_A_Status] +[DMW_Turbine_C_Status],1
214,1605,[BFW_Drives_Running]+[VHP_BFW_Drives_Running]+[CW_Drives_Running]+[Air_Compressor_Drives_Running]+[DMW_Drives_Running]+[BLR_1_Status]+[BLR_2_Status]+[BLR_3_Status]+[BLR_4_Status]+[BLR_5_Status],1
215,1606,[Total_Drives_Running] -[Total_Steam_Turbines_Running],1
