output_pi_name,seu_id,tag_id,category,output_type,active
UN.ETH.KT-1500.KEV_Ethylene_surge_drum_vent_to_CGC_5Th_stage_controller_opening_Optimum_in_C2R_EO_CALC_OUTPUT,NULL,3738,Non_SEU,optimum,1
UN.ETH.KT-1500.KEV_Fuel_gas_drum_pressure_Optimum_in_C2R_EO_CALC_OUTPUT,NULL,3748,Non_SEU,optimum,1
UN.ETH.KT-1500.KEV_Governor_Valve_Opening_Optimum_in_C2R_EO_CALC_OUTPUT,NULL,3740,Non_SEU,optimum,1
UN.ETH.KT-1500.KEV_Inlet_Steam_Flow_Optimum_in_C2R_EO_CALC_OUTPUT,NULL,3746,Non_SEU,optimum,1
UN.ETH.KT-1500.KEV_Inlet_Steam_Pressure_Optimum_in_C2R_EO_CALC_OUTPUT,NULL,3745,Non_SEU,optimum,1
UN.ETH.KT-1500.KEV_Inlet_Steam_Temperature_Optimum_in_C2R_EO_CALC_OUTPUT,NULL,3744,Non_SEU,optimum,1
UN.ETH.KT-1500.KEV_Level_in_E-1310_Optimum_in_C2R_EO_CALC_OUTPUT,NULL,3741,Non_SEU,optimum,1
UN.ETH.KT-1500.KEV_Splitter_control_tray_temperature_controller_opening_Optimum_in_C2R_EO_CALC_OUTPUT,NULL,3737,Non_SEU,optimum,1
UN.ETH.KT-1500.KEV_Splitter_reflux_controller_opening_Optimum_in_C2R_EO_CALC_OUTPUT,NULL,3736,Non_SEU,optimum,1
UN.ETH.KT-1500.KEV_Splitter_top_analyzer_C2H6_Optimum_in_C2R_EO_CALC_OUTPUT,NULL,3735,Non_SEU,optimum,1
UN.ETH.KT-1500.KEV_Suction_Pressure_Optimum_in_C2R_EO_CALC_OUTPUT,NULL,3742,Non_SEU,optimum,1
UN.ETH.KT-1500.Target_Energy_in_C2R_EO_CALC_OUTPUT,NULL,4054,Non_SEU,optimum,1
UN.ETH.KT-1600.KEV_C3_compressor_RPM_Optimum_in_C3R_EO_CALC_OUTPUT,NULL,3751,Non_SEU,optimum,1
UN.ETH.KT-1600.KEV_C3R_governer_opening_Optimum_in_C3R_EO_CALC_OUTPUT,NULL,3752,Non_SEU,optimum,1
UN.ETH.KT-1600.KEV_compressor_suction_pressure_Optimum_in_C3R_EO_CALC_OUTPUT,NULL,3755,Non_SEU,optimum,1
UN.ETH.KT-1600.KEV_E_1307_level_Optimum_in_C3R_EO_CALC_OUTPUT,NULL,3750,Non_SEU,optimum,1
UN.ETH.KT-1600.KEV_E_1308_level_Optimum_in_C3R_EO_CALC_OUTPUT,NULL,3753,Non_SEU,optimum,1
UN.ETH.KT-1600.KEV_E_1309_level_Optimum_in_C3R_EO_CALC_OUTPUT,NULL,3754,Non_SEU,optimum,1
UN.ETH.KT-1600.KEV_E_1402_level_Optimum_in_C3R_EO_CALC_OUTPUT,NULL,3749,Non_SEU,optimum,1
UN.ETH.KT-1600.KEV_splitter_control_tray_temperature_Optimum_in_C3R_EO_CALC_OUTPUT,NULL,3757,Non_SEU,optimum,1
UN.ETH.KT-1600.KEV_Surface_condenser_level_controller_opening_Optimum_in_C3R_EO_CALC_OUTPUT,NULL,3758,Non_SEU,optimum,1
UN.ETH.KT-1600.KEV_turbine_Inlet_steam_flow_Optimum_in_C3R_EO_CALC_OUTPUT,NULL,3762,Non_SEU,optimum,1
UN.ETH.KT-1600.KEV_turbine_Inlet_steam_pressure_Optimum_in_C3R_EO_CALC_OUTPUT,NULL,3761,Non_SEU,optimum,1
UN.ETH.KT-1600.KEV_turbine_Inlet_steam_temp_Optimum_in_C3R_EO_CALC_OUTPUT,NULL,3760,Non_SEU,optimum,1
UN.ETH.KT-1600.Target_Energy_in_C3R_EO_CALC_OUTPUT,NULL,4055,Non_SEU,optimum,1
UN.LAO.H-3831.Fuel_Gas_Flow_Target_Energy_EO_CALC_OUTPUT,NULL,3620,Non_SEU,optimum,1
UN.LAO.H-3831.KEV_Feed_Flow_Optimum_EO_CALC_OUTPUT,NULL,3559,Non_SEU,optimum,1
UN.LAO.H-3831.KEV_Feed_temp_Optimum_EO_CALC_OUTPUT,NULL,3560,Non_SEU,optimum,1
UN.LAO.H-3831.KEV_Stack_O2_Optimum_EO_CALC_OUTPUT,NULL,3561,Non_SEU,optimum,1
UN.Shaft_Loss_Target_EO_CALC_OUTPUT,NULL,4441,Non_SEU,optimum,1
UN.Total_Steam_Venting_Target_EO_CALC_OUTPUT,NULL,347,Non_SEU,optimum,1
