seu_output_id,case_id,time_stamp,seu_id,actual,target,baseline,gain,enpi,enpi_benefit,gain_benefit,baseline_gjph,actual_gjph,target_gjph
56,1,2026-03-25 09:00:00.000,87,1.02802777423867,1.02802777423867,0.938061,-28.0298646668145,0,0,-56.941255595574,292.260371695238,320.290236362053,320.290236362053
57,1,2026-03-25 09:00:00.000,88,0.369766458058913,0,0.365087,-0.0589806798254147,4.66059889807343,62.1444257069111,-0.786448384792079,4.60161821824801,4.66059889807343,0
58,1,2026-03-25 09:00:00.000,89,0.413065161630511,0.393977528089888,0.394864,-0.196690210691514,0.9573740886952,12.7656260986618,-2.62266726936065,4.26708387800369,4.4637740886952,3.5064
59,1,2026-03-25 09:00:00.000,90,0.680554460659623,0.6080715,0.405381,-4.94486926232237,1.30251937577381,17.367793356568,-65.9348867438065,7.28469977309712,12.2295690354195,10.9270496596457
60,1,2026-03-25 09:00:00.000,91,0.0996874451078475,0.0996731263887742,0.133119,1.56032221942944,0.000668285265096991,0.00891091572480327,20.8053364738722,6.21294864083584,4.6526264214064,4.6519581361413
61,1,2026-03-25 09:00:00.000,92,0,0,0,0,0,0,0,0,0,0
62,1,2026-03-25 09:00:00.000,93,0.566118303760886,0.575498274887687,0.520177,-0.597025478036388,0.55051397185669,0.0568512121198912,-0.0616544244614773,6.75990659091698,7.35693206895336,6.80641809709667
63,1,2026-03-25 09:00:00.000,94,0.188679079174381,0.176208391012617,0.14067,-22.7155574949613,5.90052212647846,10.3631720678713,-39.8956610774377,66.5581912373218,89.2737487322831,83.3732266058047
64,1,2026-03-25 09:00:00.000,95,0.344316484581425,0.320507492722765,0.250449,-28.4756334625521,7.22269408095178,12.6853217308704,-50.0121655318968,75.9761908701869,104.451824332739,97.2291302517872
65,1,2026-03-25 09:00:00.000,96,0,0,0,0,0,0,0,0,0,0
66,1,2026-03-25 09:00:00.000,97,0.0157942661536991,0.0168181605923592,0.012157,-0.652996330055979,0.0743356464095766,0.991191509225294,-8.70705306496643,2.1825393163536,2.83553564640958,2.7612
67,1,2026-03-25 09:00:00.000,98,0,0,0,0,0,0,0,0,0,0
68,1,2026-03-25 09:00:00.000,99,0,0,0,0,0,0,0,0,0,0
69,1,2026-03-25 09:00:00.000,100,0.0295488312188536,0.0295884793529411,0.029998,0.136395103701366,-0.0120395975575729,-0.297160908420428,3.36649898189514,9.10922684873756,8.97283174503619,8.97283174503619
70,1,2026-03-25 09:00:00.000,101,0.0303880005888641,0.0304304696101193,0.030859,0.133021027377914,-0.0119942248451608,-0.296041020785197,3.28322015296734,8.71528878126463,8.58226775388672,8.58226775388672
71,1,2026-03-25 09:00:00.000,102,0,0,0,0,0,0,0,0,0,0
72,1,2026-03-25 09:00:00.000,103,0.0213144725336822,0.0227992501974394,0.019551,-0.316595223992032,0.0834018699005044,2.05852191529502,-7.81419178781976,3.509979943574,3.82657516756604,3.74317329766553
73,1,2026-03-25 09:00:00.000,104,0.021511252966217,0.0230216988616114,0.017687,-0.686565966476139,0.0822082018346082,2.0290598435673,-16.9457961790649,3.1753370805582,3.86190304703434,3.77969484519973
74,1,2026-03-25 09:00:00.000,105,0.000757245143084871,0.001113,0.000742,-0.206048775305927,0.930017927751361,22.9546686204677,-5.08568836757442,10.0286491524454,10.2346979277514,9.30468
75,1,2026-03-25 09:00:00.000,106,0.000994862658117199,0.0011835,0.000789,-2.78237785963237,3.55220489639712,87.6753918776051,-68.6745489941377,10.6638870367648,13.4462648963971,9.89406
76,1,2026-03-25 09:00:00.000,107,0.000794269332984652,0,0.000797,0.0369068752683006,10.7351057588274,264.96348935484,0.910934151182589,10.7720126340957,10.7351057588274,0
77,1,2026-03-25 09:00:00.000,108,0.0208487583446336,0.0208487583446336,0.030871,15.4108069082471,0,0,205.487699314567,47.4691228194203,32.0583159111732,32.0583159111732
78,1,2026-03-25 09:00:00.000,109,0.000147589212884278,0.00014758999145124,0.163,140.065805733763,-6.69628458987992E-07,-1.3660420563355E-06,285.734243696876,140.192743995962,0.126938262199086,0.126938262199086
79,1,2026-03-25 09:00:00.000,110,0,0,0,0,0,0,0,0,0,0
80,1,2026-03-25 09:00:00.000,111,0,0,0,0,0,0,0,0,0,0
81,1,2026-03-25 09:00:00.000,112,0,0,0,0,0,0,0,0,0,0
82,1,2026-03-25 09:00:00.000,113,0,0,0,0,0,0,0,0,0,0
83,1,2026-03-25 09:00:00.000,114,4.14183533220098,4.14183533220098,3.949321,-2.9564942729422,0,0,-5.94164124991547,60.6507826457339,63.6072769186761,63.6072769186761
84,1,2026-03-25 09:00:00.000,121,0.50004765095003,0.50004765095003,0.4605,-5.28599061485851,0,0,-11.805361419882,61.5510307102203,66.8370213250789,66.8370213250789
85,1,2026-03-25 09:00:00.000,122,0.778726962624118,0.778726962624118,0.7559,-3.051081601516,0,0,-6.81407207311374,101.034580051804,104.08566165332,104.08566165332
86,1,2026-03-25 11:00:00.000,60,0,0,0,0,0,0,0,0,0,0
87,1,2026-03-25 10:00:00.000,60,0,0,0,0,0,0,0,0,0,0
88,1,2026-03-25 11:00:00.000,61,0,0,0,0,0,0,0,0,0,0
89,1,2026-03-25 10:00:00.000,61,0,0,0,0,0,0,0,0,0,0
90,1,2026-03-25 11:00:00.000,62,0,0,0,0,0,0,0,0,0,0
91,1,2026-03-25 10:00:00.000,62,0,0,0,0,0,0,0,0,0,0
92,1,2026-03-25 11:00:00.000,63,0,0,0,0,0,0,0,0,0,0
93,1,2026-03-25 10:00:00.000,63,0,0,0,0,0,0,0,0,0,0
94,1,2026-03-25 11:00:00.000,64,0,0,0,0,0,0,0,0,0,0
95,1,2026-03-25 10:00:00.000,64,0,0,0,0,0,0,0,0,0,0
96,1,2026-03-25 11:00:00.000,65,0,0,0,0,0,0,0,0,0,0
97,1,2026-03-25 10:00:00.000,65,0,0,0,0,0,0,0,0,0,0
98,1,2026-03-25 11:00:00.000,66,0,0,0,0,0,0,0,0,0,0
99,1,2026-03-25 10:00:00.000,66,0,0,0,0,0,0,0,0,0,0
100,1,2026-03-25 11:00:00.000,67,0,0,0,0,0,0,0,0,0,0
101,1,2026-03-25 10:00:00.000,67,0,0,0,0,0,0,0,0,0,0
102,1,2026-03-25 11:00:00.000,68,0,0,0,0,0,0,0,0,0,0
103,1,2026-03-25 10:00:00.000,68,0,0,0,0,0,0,0,0,0,0
104,1,2026-03-25 11:00:00.000,69,0,0,0,0,0,0,0,0,0,0
105,1,2026-03-25 10:00:00.000,69,0,0,0,0,0,0,0,0,0,0
106,1,2026-03-25 11:00:00.000,70,1.84527489148677,1.84527489148677,1.674547,-11.4798364564831,0,0,-39.2844404470815,112.597452772877,124.07728922936,124.07728922936
107,1,2026-03-25 10:00:00.000,70,1.85369297439959,1.85369297439959,1.674547,-12.0458729387165,0,0,-41.2304189401056,112.597452772877,124.643325711594,124.643325711594
108,1,2026-03-25 11:00:00.000,71,1.43757484455613,1.43753653591193,1.456599,1.27919457867434,0.00257589411114623,0.00881480839826463,4.37745288764823,97.9425104888188,96.6633159101445,96.6607400160334
109,1,2026-03-25 10:00:00.000,71,1.43863344744921,1.43697590905687,1.456599,1.20801354329029,0.111453784725711,0.381482210552939,4.13476920506909,97.9425104888188,96.7344969455285,96.6230431608028
110,1,2026-03-25 11:00:00.000,72,0,0,0,0,0,0,0,0,0,0
111,1,2026-03-25 10:00:00.000,72,0,0,0,0,0,0,0,0,0,0
112,1,2026-03-25 11:00:00.000,73,5.03263583512725,5.03263583512725,5.414625,22.7216407472108,0,0,0.110463091434333,322.075009828745,299.353369081534,299.353369081534
113,1,2026-03-25 10:00:00.000,73,4.97228217067768,4.97228217067768,5.414625,26.5507682311843,0,0,0.12911579180993,325.002337336461,298.451569105277,298.451569105277
114,1,2026-03-25 11:00:00.000,74,5.64064261592392,5.64064261592392,5.47605,-9.8191241475451,0,0,-0.0477364650107183,326.685462080628,336.504586228173,336.504586228173
115,1,2026-03-25 10:00:00.000,74,5.61844200874517,5.61844200874517,5.47605,-8.48260694918173,0,0,-0.0412507277875913,326.220412180559,334.703019129741,334.703019129741
116,1,2026-03-25 11:00:00.000,75,5.17284063141371,5.17284063141371,5.227667,3.29005101425298,0,0,0.0159948487019213,313.704729293856,310.414678279603,310.414678279603
117,1,2026-03-25 10:00:00.000,75,5.12799274802513,5.12799274802513,5.227667,6.0125740157452,0,0,0.029239012901591,315.344576401655,309.33200238591,309.33200238591
118,1,2026-03-25 11:00:00.000,76,5.02044552200285,5.02044552200285,5.195077,10.3624971961246,0,0,0.0503781169678094,308.271861771843,297.909364575718,297.909364575718
119,1,2026-03-25 10:00:00.000,76,4.99745765766024,4.99745765766024,5.195077,11.7094428795799,0,0,0.0569427587136398,307.821373486473,296.111930606893,296.111930606893
120,1,2026-03-25 11:00:00.000,77,4.93450343555504,4.93450343555504,5.492222,28.4935275175709,0,0,0.138523585091296,280.594530406835,252.101002889264,252.101002889264
