message_info_id,message,category
109,"Air Compressor Drives Running is Lower, Start Extra Drives To meet AIr Demand. Refer Optimization Results For Specific Equipment Startup.",ods_cause_suggestion
110,"DMW Drives Running is Higher, Stop Extra Drives. Refer Optimization Results For Specific Equipment Shutdown.",ods_cause_suggestion
111,"DMW Drives Running is Lower, Start Extra Drives To meet DMW Demand. Refer Optimization Results For Specific Equipment Startup.",ods_cause_suggestion
112,"Considering Buffer Margin in Boilers HP Steam Generation, Shutdown Boiler 1 & Keep on Hot Standby & Increase Load in Other Boilers. Kindly refer to Load biasing in Optimization Results.",ods_cause_suggestion
113,"Considering Buffer Margin in Boilers HP Steam Generation, Shutdown Boiler 2 & Keep on Hot Standby & Increase Load in Other Boilers. Kindly refer to Load biasing in Optimization Results.",ods_cause_suggestion
114,"Considering Buffer Margin in Boilers HP Steam Generation, Shutdown Boiler 3 & Keep on Hot Standby & Increase Load in Other Boilers. Kindly refer to Load biasing in Optimization Results.",ods_cause_suggestion
115,"Considering Buffer Margin in Boilers HP Steam Generation, Shutdown Boiler 4 & Keep on Hot Standby & Increase Load in Other Boilers. Kindly refer to Load biasing in Optimization Results.",ods_cause_suggestion
116,"Considering Buffer Margin in Boilers HP Steam Generation, Shutdown Boiler 5 & Keep on Hot Standby & Increase Load in Other Boilers. Kindly refer to Load biasing in Optimization Results.",ods_cause_suggestion
117,Shutdown Boiler 1 & Keep on Hot Standby & Increase Load in Other Boilers to Increase Overall Boiler Load to 70-75%. Kindly refer to Load biasing in Optimization Results.,ods_cause_suggestion
118,Shutdown Boiler 2 & Keep on Hot Standby & Increase Load in Other Boilers to Increase Overall Boiler Load to 70-75%. Kindly refer to Load biasing in Optimization Results.,ods_cause_suggestion
119,Shutdown Boiler 3 & Keep on Hot Standby & Increase Load in Other Boilers to Increase Overall Boiler Load to 70-75%. Kindly refer to Load biasing in Optimization Results.,ods_cause_suggestion
120,Shutdown Boiler 4 & Keep on Hot Standby & Increase Load in Other Boilers to Increase Overall Boiler Load to 70-75%. Kindly refer to Load biasing in Optimization Results.,ods_cause_suggestion
121,Shutdown Boiler 5 & Keep on Hot Standby & Increase Load in Other Boilers to Increase Overall Boiler Load to 70-75%. Kindly refer to Load biasing in Optimization Results.,ods_cause_suggestion
122,"Reduce Load in Boiler 1 In Steps of 5T/HR, Specific Energy Consumption High & Increase Load in Other Boilers to Increase Overall Boiler Load to 70-75%. Kindly refer to Load biasing in Optimization Results.",ods_cause_suggestion
123,"Reduce Load in Boiler 2 In Steps of 5T/HR, Specific Energy Consumption High & Increase Load in Other Boilers to Increase Overall Boiler Load to 70-75%. Kindly refer to Load biasing in Optimization Results.",ods_cause_suggestion
124,"Reduce Load in Boiler 3 In Steps of 5T/HR, Specific Energy Consumption High & Increase Load in Other Boilers to Increase Overall Boiler Load to 70-75%. Kindly refer to Load biasing in Optimization Results.",ods_cause_suggestion
125,"Reduce Load in Boiler 4 In Steps of 5T/HR, Specific Energy Consumption High & Increase Load in Other Boilers to Increase Overall Boiler Load to 70-75%. Kindly refer to Load biasing in Optimization Results.",ods_cause_suggestion
126,"Reduce Load in Boiler 5 In Steps of 5T/HR, Specific Energy Consumption High & Increase Load in Other Boilers to Increase Overall Boiler Load to 70-75%. Kindly refer to Load biasing in Optimization Results.",ods_cause_suggestion
127,"Switchover BFW Motor to Turbine to Reduce HP to MP Steam LetDown Flow/MP to LP Steam Letdown Flow, Refer Optimization Results For Specific Motor to Turbine Switchover.",ods_cause_suggestion
128,"Switchover BFW Turbine to Motor to Reduce LP Dumping/Venting, Refer Optimization Results For Specific Turbine to Motor Switchover.",ods_cause_suggestion
129,"Switchover VHP BFW Motor to Turbine to Reduce HP to MP Steam LetDown Flow/MP to LP Steam Letdown Flow, Refer Optimization Results For Specific Motor to Turbine Switchover.",ods_cause_suggestion
130,"Switchover VHP BFW Turbine to Motor to Reduce LP Dumping/Venting, Refer Optimization Results For Specific Turbine to Motor Switchover.",ods_cause_suggestion
131,"Switchover CW Motor to Turbine to Reduce HP to MP Steam LetDown Flow/MP to LP Steam Letdown Flow, Refer Optimization Results For Specific Motor to Turbine Switchover.",ods_cause_suggestion
132,"Switchover CW Turbine to Motor to Reduce LP Dumping/Venting, Refer Optimization Results For Specific Turbine to Motor Switchover.",ods_cause_suggestion
133,"Switchover Air Compressor Motor to Turbine to Reduce HP to MP Steam LetDown Flow/MP to LP Steam Letdown Flow, Refer Optimization Results For Specific Motor to Turbine Switchover.",ods_cause_suggestion
134,"Switchover Air Compressor Turbine to Motor to Reduce LP Dumping/Venting, Refer Optimization Results For Specific Turbine to Motor Switchover.",ods_cause_suggestion
135,"Switchover DMW Motor to Turbine to Reduce HP to MP Steam LetDown Flow/MP to LP Steam Letdown Flow, Refer Optimization Results For Specific Motor to Turbine Switchover.",ods_cause_suggestion
136,"Switchover DMW Turbine to Motor to LP Dumping/Venting, Refer Optimization Results For Specific Turbine to Motor Switchover.",ods_cause_suggestion
137,"Total Fuel Utilization in Boilers is High, Refer to Boiler Load Biasing for Optimising Boiler Fuel Consumption.",ods_cause_suggestion
138,"Total Fuel Utilization in Ethylene Plant is High, Refer to Furnace Load Biasing for Optimising Ehylene Fuel Consumption.",ods_cause_suggestion
139,"Total Fuel Utilization in LAO Plant is High, Optimise LAO Fuel Consumption in order to reduce Total Fuel Demand",ods_cause_suggestion
140,"Total Power Consumption is Higher, Refer Optimization Results For Specific Motor to Turbine Switchover.",ods_cause_suggestion
141,"DMW Makeup is High, Reduce Venting & refer to Boiler Load Optimisation to reduce DMW Makeup.",ods_cause_suggestion
142,"Total Air demand is Low, To Reduce Air Venting Adujst IGV & Reduce Air Supply. This would also reduce Power Consumption.",ods_cause_suggestion
144,"Since the conductivity of Boiler 1 is below the design value of 150 µS/cm, decrease Boiler blowdown by 50 kg/hr.",ods_cause_suggestion
145,"Since the conductivity of Boiler 2 is below the design value of 150 µS/cm, decrease Boiler blowdown by 50 kg/hr.",ods_cause_suggestion
146,"Since the conductivity of Boiler 3 is below the design value of 150 µS/cm, decrease Boiler blowdown by 50 kg/hr.",ods_cause_suggestion
147,"Since the conductivity of Boiler 4 is below the design value of 150 µS/cm, decrease Boiler blowdown by 50 kg/hr.",ods_cause_suggestion
148,"Since the conductivity of Boiler 5 is below the design value of 150 µS/cm, decrease Boiler blowdown by 50 kg/hr.",ods_cause_suggestion
149,"Since the conductivity of Boiler 1 is below the design value of 130 µS/cm, decrease Boiler blowdown by 50 kg/hr.",ods_cause_suggestion
150,"Since the conductivity of Boiler 2 is below the design value of 130 µS/cm, decrease Boiler blowdown by 50 kg/hr.",ods_cause_suggestion
151,"Since the conductivity of Boiler 3 is below the design value of 130 µS/cm, decrease Boiler blowdown by 50 kg/hr.",ods_cause_suggestion
152,"Since the conductivity of Boiler 4 is below the design value of 130 µS/cm, decrease Boiler blowdown by 50 kg/hr.",ods_cause_suggestion
153,"Since the conductivity of Boiler 5 is below the design value of 130 µS/cm, decrease Boiler blowdown by 50 kg/hr.",ods_cause_suggestion
154,Shutdown Boiler A & Keep on Hot Standby & Increase Load in Other Boilers to Increase Overall Boiler Load to 70-75%. Kindly refer to Load biasing in Optimization Results.,ods_cause_suggestion
155,Shutdown Boiler B & Keep on Hot Standby & Increase Load in Other Boilers to Increase Overall Boiler Load to 70-75%. Kindly refer to Load biasing in Optimization Results.,ods_cause_suggestion
156,Shutdown Boiler C & Keep on Hot Standby & Increase Load in Other Boilers to Increase Overall Boiler Load to 70-75%. Kindly refer to Load biasing in Optimization Results.,ods_cause_suggestion
157,Shutdown Boiler D & Keep on Hot Standby & Increase Load in Other Boilers to Increase Overall Boiler Load to 70-75%. Kindly refer to Load biasing in Optimization Results.,ods_cause_suggestion
158,Shutdown Boiler E & Keep on Hot Standby & Increase Load in Other Boilers to Increase Overall Boiler Load to 70-75%. Kindly refer to Load biasing in Optimization Results.,ods_cause_suggestion
159,"Reduce Load in Boiler A In Steps of 5T/HR, Specific Energy Consumption High & Increase Load in Other Boilers to Increase Overall Boiler Load to 70-75%. Kindly refer to Load biasing in Optimization Results.",ods_cause_suggestion
160,"Reduce Load in Boiler B In Steps of 5T/HR, Specific Energy Consumption High & Increase Load in Other Boilers to Increase Overall Boiler Load to 70-75%. Kindly refer to Load biasing in Optimization Results.",ods_cause_suggestion
161,"Reduce Load in Boiler C In Steps of 5T/HR, Specific Energy Consumption High & Increase Load in Other Boilers to Increase Overall Boiler Load to 70-75%. Kindly refer to Load biasing in Optimization Results.",ods_cause_suggestion
162,"Reduce Load in Boiler D In Steps of 5T/HR, Specific Energy Consumption High & Increase Load in Other Boilers to Increase Overall Boiler Load to 70-75%. Kindly refer to Load biasing in Optimization Results.",ods_cause_suggestion
163,"Reduce Load in Boiler E In Steps of 5T/HR, Specific Energy Consumption High & Increase Load in Other Boilers to Increase Overall Boiler Load to 70-75%. Kindly refer to Load biasing in Optimization Results.",ods_cause_suggestion
164,"Since the conductivity of Boiler A is below the design value of 130 µS/cm, decrease Boiler blowdown by 50 kg/hr.",ods_cause_suggestion
165,"Since the conductivity of Boiler B is below the design value of 130 µS/cm, decrease Boiler blowdown by 50 kg/hr.",ods_cause_suggestion
166,"Since the conductivity of Boiler C is below the design value of 130 µS/cm, decrease Boiler blowdown by 50 kg/hr.",ods_cause_suggestion
167,"Since the conductivity of Boiler D is below the design value of 130 µS/cm, decrease Boiler blowdown by 50 kg/hr.",ods_cause_suggestion
168,"Since the conductivity of Boiler E is below the design value of 130 µS/cm, decrease Boiler blowdown by 50 kg/hr.",ods_cause_suggestion
169,"Since the conductivity of Boiler A is below the target value of 130 µS/cm, decrease Boiler blowdown by 50 kg/hr.",ods_cause_suggestion
170,"Since the conductivity of Boiler B is below the target value of 130 µS/cm, decrease Boiler blowdown by 50 kg/hr.",ods_cause_suggestion
171,"Since the conductivity of Boiler C is below the target value of 130 µS/cm, decrease Boiler blowdown by 50 kg/hr.",ods_cause_suggestion
172,"Since the conductivity of Boiler D is below the target value of 130 µS/cm, decrease Boiler blowdown by 50 kg/hr.",ods_cause_suggestion
173,"Since the conductivity of Boiler E is below the target value of 130 µS/cm, decrease Boiler blowdown by 50 kg/hr.",ods_cause_suggestion
174,Actual Steam generation is Higher than the Optimum generation. Kindly refer to Load biasing in Optimization Results.,ods_cause_suggestion
175,Increase Pressure Ratio to 1.122 & Decrease temperature ratio to 1.035,ods_cause_suggestion
176,Increase Pressure Ratio to 1.125 & Decrease temperature ratio to 1.036,ods_cause_suggestion
177,Increase Pressure Ratio to 1.143 & Decrease temperature ratio to 1.038,ods_cause_suggestion
178,Total fuel utilization in the Ethylene Plant is high. Refer to the monitoring section to optimize excess air levels for individual furnaces and reduce overall fuel consumption.,ods_cause_suggestion
179,Total fuel utilization in the LAO plant is high. Refer to the monitoring section to optimize excess air levels for individual furnaces and reduce overall fuel consumption.,ods_cause_suggestion
180,Fuel consumption is high in the heater. Optimize excess air levels to reduce fuel consumption,ods_cause_suggestion
181,"Boiler Load is higher, It can be reduced with optimization of dumping/ venting and SEUs energy managment",ods_cause_suggestion
182,The critical tray temperature is higher than the optimum value. Steam flow to the reboiler can be reduced in steps of 0.5 T/HR to bring the critical tray temperature down,ods_cause_suggestion
