run_info_id,model_id,last_run_time,last_data_update,model_status,model_version_id
25731,1,2024-01-04 05:00:00.000,2024-01-04 05:00:00.000,off_opt_nf,1
25732,1,2024-01-04 06:00:00.000,2024-01-04 06:00:00.000,off_opt_nf,1
25733,1,2024-01-04 07:00:00.000,2024-01-04 07:00:00.000,off_opt_nf,1
25734,1,2024-01-04 08:00:00.000,2024-01-04 08:00:00.000,off_opt_nf,1
25735,1,2024-01-04 09:00:00.000,2024-01-04 09:00:00.000,off_opt_nf,1
25736,1,2024-01-04 10:00:00.000,2024-01-04 10:00:00.000,off_opt_nf,1
25737,1,2024-01-04 11:00:00.000,2024-01-04 11:00:00.000,off_opt_nf,1
25738,1,2024-01-04 12:00:00.000,2024-01-04 12:00:00.000,off_opt_nf,1
25739,1,2024-01-04 13:00:00.000,2024-01-04 13:00:00.000,on_default,1
25740,1,2024-01-04 14:00:00.000,2024-01-04 14:00:00.000,on_default,1
25741,1,2024-01-04 15:00:00.000,2024-01-04 15:00:00.000,on_default,1
25742,1,2024-01-04 16:00:00.000,2024-01-04 16:00:00.000,on_default,1
25743,1,2024-01-04 17:00:00.000,2024-01-04 17:00:00.000,on_default,1
25744,1,2024-01-04 18:00:00.000,2024-01-04 18:00:00.000,off_opt_nf,1
25745,1,2024-01-04 19:00:00.000,2024-01-04 19:00:00.000,off_opt_nf,1
25746,1,2024-01-04 20:00:00.000,2024-01-04 20:00:00.000,off_opt_nf,1
25747,1,2024-01-04 21:00:00.000,2024-01-04 21:00:00.000,on_default,1
25748,1,2024-01-04 22:00:00.000,2024-01-04 22:00:00.000,on_default,1
25749,1,2024-01-04 23:00:00.000,2024-01-04 23:00:00.000,on_default,1
25750,1,2024-01-05 00:00:00.000,2024-01-05 00:00:00.000,on_default,1
25751,1,2024-01-05 01:00:00.000,2024-01-05 01:00:00.000,on_default,1
25752,1,2024-01-05 02:00:00.000,2024-01-05 02:00:00.000,on_default,1
25753,1,2024-01-05 03:00:00.000,2024-01-05 03:00:00.000,on_default,1
25754,1,2024-01-05 04:00:00.000,2024-01-05 04:00:00.000,on_default,1
25755,1,2024-01-05 05:00:00.000,2024-01-05 05:00:00.000,on_default,1
25756,1,2024-01-05 06:00:00.000,2024-01-05 06:00:00.000,on_default,1
25757,1,2024-01-05 07:00:00.000,2024-01-05 07:00:00.000,off_opt_nf,1
25758,1,2024-01-05 08:00:00.000,2024-01-05 08:00:00.000,on_default,1
25759,1,2024-01-05 09:00:00.000,2024-01-05 09:00:00.000,off_opt_nf,1
