tag_name,category,formula,status,value,missing_inputs
BOILER_A_AIR_CP_FOR_SENSIBLE_HEAT_CORRECTED,Boiler -- Performance & Energy,((BOILER_A_AIR_CP_REF_T+BOILER_A_CP_AT_COMBUSTION_TEMPERATURE)/2)/28.96,eval_error:NameError:name 'BOILER_A_AIR_CP_REF_T' is not defined,,
BOILER_A_AIR_CP_REF_T,Boiler -- Performance & Energy,6.96,computed,6.96,
BOILER_A_AIR_FUEL_MASS_RATIO,Boiler -- Combustion & Fuel,BOILER_A_EXCESS_AIR+BOILER_A_CORRECTED_COMBUSTION_AIR,eval_error:NameError:name 'BOILER_A_EXCESS_AIR' is not defined,,
BOILER_A_AIR_MOISTURE,Boiler -- Performance & Energy,BOILER_A_VAPOUR_PRESSURE_OF_H2O/(760-BOILER_A_VAPOUR_PRESSURE_OF_H2O*RELATIVE_HUMIDITY_CLEAN)*RELATIVE_HUMIDITY_CLEAN*18.015/28.96,eval_error:NameError:name 'BOILER_A_VAPOUR_PRESSURE_OF_H2O' is not defined,,
BOILER_A_AIR_REQUIRED_FOR_CH4_COMBUSTION,Boiler -- Combustion & Fuel,BOILER_A_FG_CH4_MASS_FRACTION*17.265,eval_error:NameError:name 'BOILER_A_FG_CH4_MASS_FRACTION' is not defined,,
BOILER_A_AIR_REQUIRED_FOR_COMPLETE_COMBUSTION,Boiler -- Combustion & Fuel,BOILER_A_AIR_REQUIRED_FOR_H2_COMBUSTION+BOILER_A_AIR_REQUIRED_FOR_CH4_COMBUSTION+BOILER_A_AIR_REQUIRED_FOR_ETHANE_COMBUSTION+BOILER_A_AIR_REQUIRED_FOR_ETHYLENE_COMBUSTION+BOILER_A_AIR_REQUIRED_FOR_PRO,eval_error:NameError:name 'BOILER_A_AIR_REQUIRED_FOR_H2_COMBUSTION' is not define,,
BOILER_A_AIR_REQUIRED_FOR_ETHANE_COMBUSTION,Boiler -- Combustion & Fuel,BOILER_A_FG_ETHANE_MASS_FRACTION*16.119,eval_error:NameError:name 'BOILER_A_FG_ETHANE_MASS_FRACTION' is not defined,,
BOILER_A_AIR_REQUIRED_FOR_ETHYLENE_COMBUSTION,Boiler -- Combustion & Fuel,BOILER_A_FG_ETHYLENE_MASS_FRACTION*14.807,eval_error:NameError:name 'BOILER_A_FG_ETHYLENE_MASS_FRACTION' is not defined,,
BOILER_A_AIR_REQUIRED_FOR_H2_COMBUSTION,Boiler -- Combustion & Fuel,BOILER_A_FG_HYDROGEN_MASS_FRACTION*34.344,eval_error:NameError:name 'BOILER_A_FG_HYDROGEN_MASS_FRACTION' is not defined,,
BOILER_A_AIR_REQUIRED_FOR_IC4_COMBUSTION,Boiler -- Combustion & Fuel,BOILER_A_FG_IC4_MASS_FRACTION*15.487,eval_error:NameError:name 'BOILER_A_FG_IC4_MASS_FRACTION' is not defined,,
BOILER_A_AIR_REQUIRED_FOR_IC5_COMBUSTION,Boiler -- Combustion & Fuel,BOILER_A_FG_IC5_MASS_FRACTION*15.353,eval_error:NameError:name 'BOILER_A_FG_IC5_MASS_FRACTION' is not defined,,
