element_id,element_path,element_type,attribute_name,inferred_tag,value,is_on
k_1k8uhbs,United > Specific Energy Consumers > Utility Unit [UTI]A > Fuel EnergyA > UTI BoilerA-boiler a > UTI Boiler Combustion SystemA > UTI Boiler BurnerA,UTI Boiler Burner,Pilot Status,Boiler_A_Status,1.0,True
k_2ystyr,United > Specific Energy Consumers > Utility Unit [UTI]A > Fuel EnergyA > UTI BoilerA-boiler a > UTI Boiler Soot Blower SystemA,UTI Boiler Soot Blower System,Cycle Status,Boiler_A_Status,1.0,True
k_1sddr4o,United > Specific Energy Consumers > Utility Unit [UTI]A > Fuel EnergyA > UTI BoilerB-boiler b > UTI Boiler Combustion SystemA > UTI Boiler BurnerA,UTI Boiler Burner,Flame Status,Boiler_B_Status,1.0,True
k_1sddr4o,United > Specific Energy Consumers > Utility Unit [UTI]A > Fuel EnergyA > UTI BoilerB-boiler b > UTI Boiler Combustion SystemA > UTI Boiler BurnerA,UTI Boiler Burner,Pilot Status,Boiler_B_Status,1.0,True
k_16gtolv,United > Specific Energy Consumers > Utility Unit [UTI]A > Fuel EnergyA > UTI BoilerB-boiler b > UTI Boiler Soot Blower SystemA,UTI Boiler Soot Blower System,Cycle Status,Boiler_B_Status,1.0,True
k_5dagzc,United > Specific Energy Consumers > Utility Unit [UTI]A > Fuel EnergyA > UTI BoilerC-boiler c > UTI Boiler Combustion SystemA > UTI Boiler BurnerA,UTI Boiler Burner,Flame Status,Boiler_C_Status,1.0,True
k_5dagzc,United > Specific Energy Consumers > Utility Unit [UTI]A > Fuel EnergyA > UTI BoilerC-boiler c > UTI Boiler Combustion SystemA > UTI Boiler BurnerA,UTI Boiler Burner,Pilot Status,Boiler_C_Status,1.0,True
k_105fmr7,United > Specific Energy Consumers > Utility Unit [UTI]A > Fuel EnergyA > UTI BoilerC-boiler c > UTI Boiler Soot Blower SystemA,UTI Boiler Soot Blower System,Cycle Status,Boiler_C_Status,1.0,True
k_f5o63c,United > Specific Energy Consumers > Utility Unit [UTI]A > Fuel EnergyA > UTI BoilerD-boiler d > UTI Boiler Combustion SystemA > UTI Boiler BurnerA,UTI Boiler Burner,Flame Status,Boiler_D_Status,1.0,True
k_f5o63c,United > Specific Energy Consumers > Utility Unit [UTI]A > Fuel EnergyA > UTI BoilerD-boiler d > UTI Boiler Combustion SystemA > UTI Boiler BurnerA,UTI Boiler Burner,Pilot Status,Boiler_D_Status,1.0,True
k_1k0zhn7,United > Specific Energy Consumers > Utility Unit [UTI]A > Fuel EnergyA > UTI BoilerD-boiler d > UTI Boiler Soot Blower SystemA,UTI Boiler Soot Blower System,Cycle Status,Boiler_D_Status,1.0,True
k_gfv2d4,United > Specific Energy Consumers > Utility Unit [UTI]A > Fuel EnergyA > UTI BoilerE-boiler e > UTI Boiler Combustion SystemA > UTI Boiler BurnerA,UTI Boiler Burner,Flame Status,Boiler_E_Status,1.0,True
k_gfv2d4,United > Specific Energy Consumers > Utility Unit [UTI]A > Fuel EnergyA > UTI BoilerE-boiler e > UTI Boiler Combustion SystemA > UTI Boiler BurnerA,UTI Boiler Burner,Pilot Status,Boiler_E_Status,1.0,True
k_1o996ib,United > Specific Energy Consumers > Utility Unit [UTI]A > Fuel EnergyA > UTI BoilerE-boiler e > UTI Boiler Soot Blower SystemA,UTI Boiler Soot Blower System,Cycle Status,Boiler_E_Status,1.0,True
