=== SHEET: derived_equations ===
Shape: 117 rows x 4 columns

COLUMN HEADERS:
  [0] 'tag_name'
  [1] 'formula_expression'
  [2] 'active'
  [3] 'source_flag'

ALL ROWS:
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[0] tag_name: FD_Fan_BLR_1_Steam | formula_expression: (1-[FDF_A_Motor_Status])*[BLR_1_Status]*(([FD_Fan_BLR_1_Steam_raw]/1000)-([FD_Fan_BLR_1_Steam_reg]-((0.4255*[BLR_1_HPS_Gen]**2 - 32.667*[BLR_1_HPS_Gen] + 4378.1)/1000)))+(1-[BLR_1_Status])*(1-[FDF_A_Motor_Status])*[FD_Fan_BLR_1_Steam_warmup] | active: 1 | source_flag: DB_ACTIVE
[11] tag_name: BFW_B_Turb_Steam | formula_expression: [BFW_B_Turb_Status]*([BFW_B_Turb_Steam_cons]-[BFW_B_Turb_Steam_Imbalance]) + (1-[BFW_B_Turb_Status])*[BFW_B_Turb_Steam_warmup] | active: 1 | source_flag: DB_ACTIVE
[12] tag_name: BFW_C_Turb_Steam | formula_expression: [BFW_C_Turb_Status]*([BFW_C_Turb_Steam_cons]-[BFW_C_Turb_Steam_Imbalance]) + (1-[BFW_C_Turb_Status])*[BFW_C_Turb_Steam_warmup] | active: 1 | source_flag: DB_ACTIVE
[13] tag_name: BFW_D_Motor_Power | formula_expression: [BFW_D_Motor_Status]*([BFW_D_Motor_Power_cons]-[BFW_D_Motor_Power_Imbalance]) | active: 1 | source_flag: DB_ACTIVE
[14] tag_name: BFW_E_Turb_Steam | formula_expression: [BFW_E_Turb_Status]*([BFW_E_Turb_Steam_cons]-[BFW_E_Turb_Steam_Imbalance]) + (1-[BFW_E_Turb_Status])*[BFW_E_Turb_Steam_warmup] | active: 1 | source_flag: DB_ACTIVE
[15] tag_name: BFW_F_Motor_Power | formula_expression: [BFW_F_Motor_Status]*([BFW_F_Motor_Power_cons]-[BFW_F_Motor_Power_Imbalance]) | active: 1 | source_flag: DB_ACTIVE
[16] tag_name: VHP_BFW_B_Turb_Steam | formula_expression: [VHP_BFW_B_Turb_Status]*([VHP_BFW_B_Turb_Steam_cons]) + (1-[VHP_BFW_B_Turb_Status])*[VHP_BFW_B_Turb_Steam_warmup] | active: 1 | source_flag: DB_ACTIVE
[17] tag_name: VHP_BFW_C_Turb_Steam | formula_expression: [VHP_BFW_C_Turb_Status]*([VHP_BFW_C_Turb_Steam_cons]) + (1-[VHP_BFW_C_Turb_Status])*[VHP_BFW_C_Turb_Steam_warmup] | active: 1 | source_flag: DB_ACTIVE
[18] tag_name: VHP_BFW_A_Motor_Power | formula_expression: [VHP_BFW_A_Motor_Status]*([VHP_BFW_A_Motor_Power_cons]) | active: 1 | source_flag: DB_ACTIVE
[19] tag_name: CW_Turbine_B_Steam | formula_expression: [CW_Turbine_B_Status]*([CW_Turbine_B_Steam_Imbalance]+38*0.90) +(1-[CW_Turbine_B_Status])*[CW_Turbine_B_Steam_warmup] | active: 1 | source_flag: DB_ACTIVE
[20] tag_name: CW_Motor_C_Power | formula_expression: [CW_Motor_C_Status]*([CW_Motor_C_Power_Imbalance]+2.55*0.90) | active: 1 | source_flag: DB_ACTIVE
[21] tag_name: CW_Motor_D_Power | formula_expression: [CW_Motor_D_Status]*([CW_Motor_D_Power_Imbalance]+2.55*0.90) | active: 1 | source_flag: DB_ACTIVE
[22] tag_name: CW_Motor_E_Power | formula_expression: [CW_Motor_E_Status]*([CW_Motor_E_Power_Imbalance]+2.55*0.90) | active: 1 | source_flag: DB_ACTIVE
[23] tag_name: CW_Motor_F_Power | formula_expression: [CW_Motor_F_Status]*([CW_Motor_F_Power_Imbalance]+2.55*0.90) | active: 1 | source_flag: DB_ACTIVE
[24] tag_name: CW_Turbine_G_Steam | formula_expression: [CW_Turbine_G_Status]*([CW_Turbine_G_Steam_Imbalance]+38*0.90) +(1-[CW_Turbine_G_Status])*[CW_Turbine_G_Steam_warmup] | active: 1 | source_flag: DB_ACTIVE
