tag_name,role,formula,lower_bound,upper_bound,flag_integer,equipment_category,equipment_id,uom,active_flag
BLR_4_Status,decision_variable,,0,"if([Whatif_running]==0,if(([Boiler_opt_running]<[Total_Boilers_Running])&& ([Boiler_opt_running]==3) && ([max_spec_en_consumption_blr]==4 || [max2_spec_en_consumption_blr]==4),0,if(([Boiler_opt_running]<[Total_Boilers_Running])&& ([Boiler_opt_running]==4) && ([max_spec_en_consumption_blr]==4),0,[BLR_4_Status])),if((if(ceil((([ETH_HPS_Demand]+[VHP_BFW_to_ETH]*0+[ETH_LPS_Demand]+[EOEG_1_MPS_Demand]+[EOEG_1_LPS_Demand]+[EOEG_2_MPS_Demand]+[EOEG_2_LPS_Demand]+[EOEG_3_MPS_Demand]+[EOEG_3_LPS_Demand]+[LAO_LP_Steam_Demand]+80*(if([ETH_Plant_Status]==1 || [EOEG1_Plant_Status]==1 || [EOEG2_Plant_Status]==1 || [EOEG3_Plant_Status]==1,1,0)))*1.2+[Buffer_Steam_in_Boilers])/140)>5, 5 ,ceil((([ETH_HPS_Demand]+[VHP_BFW_to_ETH]*0+[ETH_LPS_Demand]+[EOEG_1_MPS_Demand]+[EOEG_1_LPS_Demand]+[EOEG_2_MPS_Demand]+[EOEG_2_LPS_Demand]+[EOEG_3_MPS_Demand]+[EOEG_3_LPS_Demand]+[LAO_LP_Steam_Demand]+80*(if([ETH_Plant_Status]==1 || [EOEG1_Plant_Status]==1 || [EOEG2_Plant_Status]==1 || [EOEG3_Plant_Status]==1,1,0)))*1.2+[Buffer_Steam_in_Boilers])/140)))>=4,1,0))",1,system,,Number,1
BLR_5_Capacity,parameter,150,,,,system,,$/ HR,1
BLR_5_HPS_Gen,decision_variable,[Fuel_BLR_5] * [LHV] / [Spec_En_Cons_BLR_5]*[BLR_5_Status] + (1-[BLR_5_Status])*[BLR_5_HPS_Gen_warmup],"if([Whatif_running]==0,[BLR_5_Status]*if([opt_flag]==1,if((([Boiler_opt_running]==3) && [max_spec_en_consumption_blr]!=5 && [max2_spec_en_consumption_blr]!=5 && [BLR_5_Status]==1) || (([Boiler_opt_running]==4) && [max_spec_en_consumption_blr]!=5 && [BLR_5_Status]==1),[BLR_5_HPS_Gen],0),min([BLR_1_HPS_Gen],[BLR_2_HPS_Gen],[BLR_3_HPS_Gen],[BLR_4_HPS_Gen],[BLR_5_HPS_Gen])-8),0)","if([Whatif_running]==0,if([opt_flag]==1,150,max([BLR_1_HPS_Gen],[BLR_2_HPS_Gen],[BLR_3_HPS_Gen],[BLR_4_HPS_Gen],[BLR_5_HPS_Gen])+8),150)",0,system,,MT/ HR,1
BLR_5_HPS_Gen_warmup,parameter,"if([BLR_5_Status]==0,[BLR_5_HPS_Gen],0)",,,,system,,-,1
BLR_5_Status,decision_variable,,0,"if([Whatif_running]==0,if(([Boiler_opt_running]<[Total_Boilers_Running])&& ([Boiler_opt_running]==3) && ([max_spec_en_consumption_blr]==5 || [max2_spec_en_consumption_blr]==5),0,if(([Boiler_opt_running]<[Total_Boilers_Running])&& ([Boiler_opt_running]==4) && ([max_spec_en_consumption_blr]==5),0,[BLR_5_Status])),if((if(ceil((([ETH_HPS_Demand]+[VHP_BFW_to_ETH]*0+[ETH_LPS_Demand]+[EOEG_1_MPS_Demand]+[EOEG_1_LPS_Demand]+[EOEG_2_MPS_Demand]+[EOEG_2_LPS_Demand]+[EOEG_3_MPS_Demand]+[EOEG_3_LPS_Demand]+[LAO_LP_Steam_Demand]+80*(if([ETH_Plant_Status]==1 || [EOEG1_Plant_Status]==1 || [EOEG2_Plant_Status]==1 || [EOEG3_Plant_Status]==1,1,0)))*1.2+[Buffer_Steam_in_Boilers])/140)>5, 5 ,ceil((([ETH_HPS_Demand]+[VHP_BFW_to_ETH]*0+[ETH_LPS_Demand]+[EOEG_1_MPS_Demand]+[EOEG_1_LPS_Demand]+[EOEG_2_MPS_Demand]+[EOEG_2_LPS_Demand]+[EOEG_3_MPS_Demand]+[EOEG_3_LPS_Demand]+[LAO_LP_Steam_Demand]+80*(if([ETH_Plant_Status]==1 || [EOEG1_Plant_Status]==1 || [EOEG2_Plant_Status]==1 || [EOEG3_Plant_Status]==1,1,0)))*1.2+[Buffer_Steam_in_Boilers])/140)))>=5,1,0))",1,system,,Number,1
BOILER_A_STACK_TEMPERATURE,post_optimizer,"if([BOILER_A_FLUE_GAS_OXGYGEN_flag]==0,[BOILER_A_STACK_TEMPERATURE],min([BOILER_A_STACK_TEMPERATURE],(0.368798083 * [BLR_1_HPS_Gen] + 0.356735113 * [BOILER_A_FLUE_GAS_OXGYGEN] + 117.0923065))*[BLR_1_Status])",,,,system,,°C,1
BOILER_B_STACK_TEMPERATURE,post_optimizer,"if([BOILER_B_FLUE_GAS_OXGYGEN_flag]==0,[BOILER_B_STACK_TEMPERATURE],min([BOILER_B_STACK_TEMPERATURE],(0.446275852 * [BLR_2_HPS_Gen] + 0.310062436 * [BOILER_B_FLUE_GAS_OXGYGEN] + 110.2389869))*[BLR_2_Status])",,,,system,,°C,1
BOILER_C_STACK_TEMPERATURE,post_optimizer,"if([BOILER_C_FLUE_GAS_OXGYGEN_flag]==0,[BOILER_C_STACK_TEMPERATURE],min([BOILER_C_STACK_TEMPERATURE],(0.399051143 * [BLR_3_HPS_Gen] - 0.176072266 * [BOILER_C_FLUE_GAS_OXGYGEN] + 116.3971552))*[BLR_3_Status])",,,,system,,°C,1
BOILER_D_STACK_TEMPERATURE,post_optimizer,"if([BOILER_D_FLUE_GAS_OXGYGEN_flag]==0,[BOILER_D_STACK_TEMPERATURE],min([BOILER_D_STACK_TEMPERATURE],(0.399089856 * [BLR_4_HPS_Gen] - 0.482676221 * [BOILER_D_FLUE_GAS_OXGYGEN] + 114.6594118))*[BLR_4_Status])",,,,system,,°C,1
BOILER_E_STACK_TEMPERATURE,post_optimizer,"if([Boiler_5_O2_flag]==0,[BOILER_E_STACK_TEMPERATURE],min([BOILER_E_STACK_TEMPERATURE],(0.313555668 * [BLR_5_HPS_Gen] + 0.475167776 * [BOILER_E_FLUE_GAS_OXGYGEN] + 132.5695951))*[BLR_5_Status])",,,,system,,°C,1
Boiler_CBD,raw_pi_input,,,,,system,,GJ/ HR,1
Boiler_opt_running,parameter,"if([Total_Boilers_Running]<5,[Total_Boilers_Running], if(ceil(([Total_BLR_HPS_Generation]+[Buffer_Steam_in_Boilers])/140)>5, 5 ,ceil(([Total_BLR_HPS_Generation]+[Buffer_Steam_in_Boilers])/140)))",,,,system,,%,1
Buffer_Steam_in_Boilers,parameter,100,,,,system,,MT/ HR,1
Buffer_in_BFW_Flow_Margin,parameter,0,,,,bfw_system,,$/ HR,1
CBD_energy_saving_BLR1,post_optimizer,[CBD_energy_saving_BLR1]*[BLR_1_Status],,,,system,,MT/ HR,1
CBD_energy_saving_BLR2,post_optimizer,[CBD_energy_saving_BLR2]*[BLR_2_Status],,,,system,,MT/ HR,1
CBD_energy_saving_BLR3,post_optimizer,[CBD_energy_saving_BLR3]*[BLR_3_Status],,,,system,,MT/ HR,1
CBD_energy_saving_BLR4,post_optimizer,[CBD_energy_saving_BLR4]*[BLR_4_Status],,,,system,,MT/ HR,1
CBD_energy_saving_BLR5,post_optimizer,[CBD_energy_saving_BLR5]*[BLR_5_Status],,,,system,,MT/ HR,1
DSP_BFW_TO_CAUSTIC_DILUTION,raw_pi_input,,,,,bfw_system,,MT/ HR,1
DSP_BFW_TO_EG1,raw_pi_input,,,,,bfw_system,,KG/ HR,1
DSP_BFW_TO_EG2,raw_pi_input,,,,,bfw_system,,MT/ HR,1
DSP_BFW_TO_EG3,parameter,"if([EOEG3_Plant_Status]==0,0,[DSP_BFW_TO_EG3_raw])",,,,bfw_system,,MT/ HR,1
DSP_BFW_TO_EG3_raw,raw_pi_input,,,,,bfw_system,,$/ HR,1
DSP_BFW_TO_ETH,parameter,"if([ETH_Plant_Status]==0,0,[DSP_BFW_TO_ETH_raw])",,,,bfw_system,,MT/ HR,1
