tag_name,role,formula,lower_bound,upper_bound,flag_integer,equipment_category,equipment_id,uom,active_flag
Air_Compressor_Turbine_A_Steam_Imbalance,decision_variable,[Air_Compressor_Turbine_A_Status]*([Air_Compressor_Turbine_A_Steam_Regression]-((14.691*([Air_compressor_A_Discharge_flow])*89.55 + 5079)/0.9/1000))/((14.691*([Air_compressor_A_Discharge_flow]+(1-[Air_Compressor_Turbine_A_Status]))*89.55 + 5079)/0.9/1000),-100,100,0,turbine,,°C,1
Air_Compressor_Turbine_A_Steam_Regression,parameter,((14.691*([Air_compressor_A_Discharge_flow])*89.55+5079)/0.9/1000),,,,turbine,,BARG,1
Air_Compressor_Turbine_A_Steam_param,parameter,[Air_Compressor_Turbine_A_Steam],,,,turbine,,%,1
Air_Compressor_Turbine_A_Steam_raw,raw_pi_input,,,,,turbine,,MT/ HR,1
Air_Compressor_Turbine_A_Steam_warmup,parameter,"if([Air_Compressor_Turbine_A_Steam_raw]>100 && [Air_Compressor_Turbine_A_Steam_raw]<12500 && [Air_Compressor_Turbine_A_Status]==0,[Air_Compressor_Turbine_A_Steam_raw]/1000,0)",,,,turbine,,-,1
Air_Compressor_Turbine_D_Status,decision_variable,,0,"if([Whatif_running]==0,[Air_Compressor_Turbine_D_Status],1)",1,turbine,,Number,1
Air_Compressor_Turbine_D_Steam,decision_variable,[Air_Compressor_Turbine_D_Status]*([act_Air_Compressor_Turbine_D_Status]*[Air_Compressor_Turbine_D_Steam_param]*(1-[Air_Compressor_Turbine_D_Steam_Imbalance])+(1-[act_Air_Compressor_Turbine_D_Status])*((13.34*([Air_compressor_D_Discharge_flow])*92.96 + 4614.5)/0.9/1000)) +(1-[Air_Compressor_Turbine_D_Status])*[Air_Compressor_Turbine_D_Steam_warmup],0,40,0,turbine,,MT/ HR,1
Air_Compressor_Turbine_D_Steam_Imbalance,decision_variable,[Air_Compressor_Turbine_D_Status]*([Air_Compressor_Turbine_D_Steam_Regression]-((13.34*([Air_compressor_D_Discharge_flow])*92.96 + 4614.5)/0.9/1000))/((13.34*([Air_compressor_D_Discharge_flow]+(1-[Air_Compressor_Turbine_D_Status]))*92.96 + 4614.5)/0.9/1000),-100,100,0,turbine,,MT/ HR,1
Air_Compressor_Turbine_D_Steam_Regression,parameter,((13.34*([Air_compressor_D_Discharge_flow])*92.96+4614.5)/0.9/1000),,,,turbine,,°C,1
Air_Compressor_Turbine_D_Steam_param,parameter,[Air_Compressor_Turbine_D_Steam],,,,turbine,,%,1
Air_Compressor_Turbine_D_Steam_raw,raw_pi_input,,,,,turbine,,MT/ HR,1
Air_Compressor_Turbine_D_Steam_warmup,parameter,"if([Air_Compressor_Turbine_D_Steam_raw]>100 && [Air_Compressor_Turbine_D_Steam_raw]<12500 && [Air_Compressor_Turbine_D_Status]==0,[Air_Compressor_Turbine_D_Steam_raw]/1000,0)",,,,turbine,,-,1
Air_Compressor_Turbines_Running,decision_variable,[Air_Compressor_Turbine_A_Status]+[Air_Compressor_Turbine_D_Status],"if([Whatif_running]==0,if([Air_Compressor_Turbines_Running]==1,1,0),0)","if([Whatif_running]==0,[Air_Compressor_Turbines_Running],2)",1,turbine,,MT/ HR,1
Air_compressor_A_Discharge_flow,decision_variable,,0,"if([Whatif_running]==0,[air_compressor_max_capacity],17.309)",0,air_compressor,,MT/ HR,1
Air_compressor_B_Discharge_flow,decision_variable,,0,"if([Whatif_running]==0,[air_compressor_max_capacity],17.309)",0,air_compressor,,MT/ HR,1
Air_compressor_C_Discharge_flow,decision_variable,,0,"if([Whatif_running]==0,[air_compressor_c_max_capacity],11.89)",0,air_compressor,,MT/ HR,1
Air_compressor_D_Discharge_flow,decision_variable,,0,"if([Whatif_running]==0,[air_compressor_max_capacity],17.309)",0,air_compressor,,MT/ HR,1
BFW_A_Motor_Power,decision_variable,[BFW_A_Motor_Status]*([BFW_A_Motor_Power_cons]-[BFW_A_Motor_Power_Imbalance]),0,2,0,bfw_system,,KW,1
BFW_A_Motor_Power_Imbalance,decision_variable,[BFW_A_Motor_Status]*([BFW_A_Motor_Power_Regression]-((-0.0016*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_A_Motor_Status])))**2+ 1.8045*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_A_Motor_Status]))) + 401.61)/1000)/0.95),-5,5,0,bfw_system,,MT/ HR,1
