,tag_name,formula_expression,Category
1733,Boiler_D_Sensible_Heat_Correction_For_Fuel,"if([Boiler_D_Avg_Cp_Of_Fuel_Gas_Sensible_Heat_Corrected]*([Boiler_D_Main_Fuel_Gas_Temperature]-15.6)<0,0,[Boiler_D_Avg_Cp_Of_Fuel_Gas_Sensible_Heat_Corrected]*([Boiler_D_Main_Fuel_Gas_Temperature]-15.6))",Boiler -- Performance & Energy
1734,Boiler_D_Sensbile_Heat_Correction_For_Air,[Boiler_D_Air_Cp_For_Sensible_Heat_Corrected]*([Boiler_D_Combustion_Air_Temperature]-15.6)*[Boiler_D_Air_Fuel_Mass_Ratio],Boiler -- Performance & Energy
1735,Boiler_D_Mixed_Lhv_Per_Kg,([Boiler_Lhv]),Component Properties (LHV/MW)
1736,Boiler_D_Total_Heat_Input_Per_Kg_Of_Fuel,"if([Boiler_D_Status]==0,0,[Boiler_D_Sensible_Heat_Correction_For_Fuel]+[Boiler_D_Sensbile_Heat_Correction_For_Air]+[Boiler_D_Mixed_Lhv_Per_Kg])",Boiler -- Performance & Energy
1737,Boiler_D_Heat_Loss_Due_To_Dry_Flue_Gas_L1,"if([Boiler_D_Status]==0,0,[Boiler_D_Dry_Flue_Gas_Per_Fuel_Mass_Ratio]*([Boiler_D_Avg_Cp_Of_Flue_Gas_At_Stack_Temp]*([BOILER_D_STACK_TEMPERATURE]-15.6)))",Boiler -- Flue Gas & Stack
1738,Boiler_D_Heat_Loss_Due_To_Evaporation_Of_Water_Formed_Due_To_H2_In_Fuel_L2,"if([Boiler_D_Status]==0,0,9*([Boiler_D_Fg_Hydrogen_Mass_Fraction])*(584+([Boiler_D_Cp_Of_H2O_At_Stack_Temp]*([BOILER_D_STACK_TEMPERATURE]-[Ambient_Temperature_1]))))",Boiler -- Performance & Energy
1739,Boiler_D_Heat_Loss_Due_To_H2O_In_Stack_L3,"if([Boiler_D_Status]==0,0,[Boiler_D_Total_H2O_Per_Kg_Of_Fuel]*([BOILER_D_STACK_TEMPERATURE]*1.77251246754294+2494.5133413964-2529.43)/4.184)",Boiler -- Flue Gas & Stack
1740,Boiler_D_Heat_Loss_Due_To_Incomplete_Combustionl4,"if([Boiler_D_Status]==0,0,0*10^-6*28*5654*[Boiler_D_Boiler_Load])",Boiler -- Performance & Energy
1741,Boiler_D_Total_Boiler_Stack_Loss_Per_Kg_Fuel,"if([Boiler_D_Status]==0,0,[Boiler_D_Heat_Loss_Due_To_Incomplete_Combustionl4]+[Boiler_D_Heat_Loss_Due_To_H2O_In_Stack_L3]+[Boiler_D_Heat_Loss_Due_To_Dry_Flue_Gas_L1]+[Boiler_D_Heat_Loss_Due_To_Evaporation_Of_Water_Formed_Due_To_H2_In_Fuel_L2])",Boiler -- Flue Gas & Stack
1742,Boiler_D_Radiation_Losses,"if([Boiler_D_Status]==0,0,[Boiler_D_Mixed_Lhv_Per_Kg]*(-0.000004*[Boiler_D_Boiler_Load]^3+0.001*[Boiler_D_Boiler_Load]^2-0.0899*[Boiler_D_Boiler_Load]+3.2426)/100)",Boiler -- Performance & Energy
1743,Boiler_D_Total_Heat_Loss_Per_Kg_Of_Fuel,"if([Boiler_D_Status]==0,0,[Boiler_D_Total_Boiler_Stack_Loss_Per_Kg_Fuel]+[Boiler_D_Radiation_Losses])",Boiler -- Performance & Energy
1744,Boiler_D_Total_Heat_Absorbed_Per_Kg_Of_Fuel,"if([Boiler_D_Status]==0,0,[Boiler_D_Total_Heat_Input_Per_Kg_Of_Fuel]-[Boiler_D_Total_Heat_Loss_Per_Kg_Of_Fuel])",Boiler -- Performance & Energy
1745,Boiler_D_Boiler_Indirect_Efficiency,"max(92,if([Boiler_D_Status]==0,0,[Boiler_D_Total_Heat_Absorbed_Per_Kg_Of_Fuel]/[Boiler_D_Total_Heat_Input_Per_Kg_Of_Fuel]*100))",Boiler -- Performance & Energy
1746,Boiler_E_Boiler_Load,[BLR_5_HPS_Gen],Boiler -- Performance & Energy
1747,Boiler_E_Status,[BLR_5_Status],Boiler -- Performance & Energy
1748,Boiler_E_Fuel_Composition_Total,([Boiler_Fg_Ch4_Concentration]+[Boiler_Fg_Ethane_Concentration]+[Boiler_Fg_Ethylene_Concentration]+[Boiler_Fg_Propane_Concentration]+[Boiler_Fg_Nc5_Concentration]+[Boiler_Fg_Ic5_Concentration]+[Boiler_Fg_Ic4_Concentration]+[Boiler_Fg_Nc4_Concentration]+[Boiler_Fg_Hydrogen_Concentration]+[Boiler_Fg_N2_Concentration]),Boiler -- Performance & Energy
1749,Normalized_Boiler_E_Fg_Ch4_Concentration,[Boiler_Fg_Ch4_Concentration]/[Boiler_E_Fuel_Composition_Total]*100,Normalized Variant
