short_name,network,plant,group,element_type,instance,pi_tag_base,status_tag,status_value,is_on,element_path
UTI HP-2 Backpressure TurbineA,Steam Network,Utility Unit [UTI],Steam Generators & Turbines,UTI HP-2 Backpressure Turbine,A,UTIL.UTI.BAC-101,CW_Turbine_A_Status,0.0,False,United > Steam Network > Utility Unit [UTI] > Steam Generators & Turbines > UTI HP-2 Backpressure TurbineA
UTI HP-2 Backpressure TurbineB,Steam Network,Utility Unit [UTI],Steam Generators & Turbines,UTI HP-2 Backpressure Turbine,B,UTIL.UTI.BAC-102,CW_Turbine_B_Status,0.0,False,United > Steam Network > Utility Unit [UTI] > Steam Generators & Turbines > UTI HP-2 Backpressure TurbineB
UTI HP-2 Backpressure TurbineC,Steam Network,Utility Unit [UTI],Steam Generators & Turbines,UTI HP-2 Backpressure Turbine,C,UTIL.UTI.BAC-103,BFW_B_Turb_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Generators & Turbines > UTI HP-2 Backpressure TurbineC
UTI HP-2 Backpressure TurbineD,Steam Network,Utility Unit [UTI],Steam Generators & Turbines,UTI HP-2 Backpressure Turbine,D,UTIL.UTI.BAC-104,Air_Compressor_Turbine_A_Status,0.0,False,United > Steam Network > Utility Unit [UTI] > Steam Generators & Turbines > UTI HP-2 Backpressure TurbineD
UTI HP-2 Backpressure TurbineE,Steam Network,Utility Unit [UTI],Steam Generators & Turbines,UTI HP-2 Backpressure Turbine,E,UTIL.UTI.BAC-105,BFW_C_Turb_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Generators & Turbines > UTI HP-2 Backpressure TurbineE
UTI HP-2 Backpressure TurbineF,Steam Network,Utility Unit [UTI],Steam Generators & Turbines,UTI HP-2 Backpressure Turbine,F,UTIL.UTI.BAC-106,Air_Compressor_Turbine_D_Status,0.0,False,United > Steam Network > Utility Unit [UTI] > Steam Generators & Turbines > UTI HP-2 Backpressure TurbineF
UTI HP-2 Backpressure TurbineG,Steam Network,Utility Unit [UTI],Steam Generators & Turbines,UTI HP-2 Backpressure Turbine,G,UTIL.UTI.BAC-107,CW_Turbine_G_Status,0.0,False,United > Steam Network > Utility Unit [UTI] > Steam Generators & Turbines > UTI HP-2 Backpressure TurbineG
UTI HP-2 Backpressure TurbineH,Steam Network,Utility Unit [UTI],Steam Generators & Turbines,UTI HP-2 Backpressure Turbine,H,UTIL.UTI.BAC-108,BFW_E_Turb_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Generators & Turbines > UTI HP-2 Backpressure TurbineH
UTI HP-2 Backpressure TurbineI,Steam Network,Utility Unit [UTI],Steam Generators & Turbines,UTI HP-2 Backpressure Turbine,I,UTIL.UTI.BAC-109,DMW_Turbine_A_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Generators & Turbines > UTI HP-2 Backpressure TurbineI
UTI HP-2 Backpressure TurbineJ,Steam Network,Utility Unit [UTI],Steam Generators & Turbines,UTI HP-2 Backpressure Turbine,J,UTIL.UTI.BAC-110,DMW_Turbine_C_Status,0.0,False,United > Steam Network > Utility Unit [UTI] > Steam Generators & Turbines > UTI HP-2 Backpressure TurbineJ
